,age,gender,sub
0,24.0,female,19.0
1,27.0,female,27.0
2,25.0,female,66.0
3,23.0,female,72.0
4,24.0,male,76.0
5,33.0,male,80.0
6,23.0,male,90.0
7,48.0,male,94.0
8,26.0,female,98.0
9,24.0,female,101.0
10,49.0,female,111.0
11,22.0,female,118.0
12,28.0,female,123.0
13,22.0,male,132.0
14,23.0,female,171.0
15,22.0,female,179.0
16,26.0,male,184.0
17,26.0,male,190.0
18,21.0,male,210.0
19,25.0,male,211.0
20,22.0,female,219.0
21,23.0,male,220.0
22,25.0,female,224.0
23,26.0,male,525.0
24,26.0,female,1001.0
25,29.0,female,1002.0
26,24.0,female,1003.0
27,23.0,female,1004.0
28,24.0,female,1005.0
29,22.0,female,1006.0
30,28.0,female,1007.0
31,20.0,female,1008.0
32,20.0,female,1009.0
33,23.0,female,1010.0
34,33.0,female,1011.0
35,23.0,male,1012.0
36,22.0,female,1013.0
37,30.0,female,1014.0
38,28.0,male,1015.0
39,26.0,female,1016.0
40,26.0,male,1017.0
